# comparison of averages for iozone measured throughput[MB/s] for any FS and any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Operation	iwrite baseline	iwrite set1	rewrite baseline	rewrite set1	iread baseline	iread set1	reread baseline	reread set1	randrd baseline	randrd set1	randwr baseline	randwr set1	bkwdrd baseline	bkwdrd set1	recrewr baseline	recrewr set1	striderd baseline	striderd set1	fwrite baseline	fwrite set1	frewrite baseline	frewrite set1	fread baseline	fread set1	freread baseline	freread set1
Filesize[kB] = 524288 Block size [kB] = 256	1399.77	1560.77	1817.61	1773.41	79.33	123.32	149.5	123.06	74.21	75.19	1736.83	1839.96	63.19	102.18	2525.92	2972.19	76.18	79.65	1279.53	1486.41	1658.2	1640.49	67.0	148.89	146.16	149.18
Filesize[kB] = 524288 Block size [kB] = 512	1446.12	1571.83	1797.72	1745.58	80.95	123.69	147.14	123.54	101.37	99.72	1790.06	1738.49	67.0	106.98	2342.23	2945.63	111.68	109.61	1256.64	1340.23	1447.22	1500.71	66.2	148.54	145.96	147.98
Filesize[kB] = 524288 Block size [kB] = 1024	1385.73	1636.56	1757.59	1764.38	80.93	125.57	148.53	125.87	127.39	123.26	1820.74	1754.89	82.76	124.73	2555.92	3088.56	130.81	131.46	1189.29	1296.29	1441.89	1445.04	70.83	147.85	147.92	148.96
Filesize[kB] = 524288 Block size [kB] = 2048	1387.28	1581.67	1746.72	1703.62	80.73	122.15	147.93	123.3	144.69	137.65	1733.97	1780.07	78.83	125.43	2459.67	3001.3	139.73	139.23	1102.06	1266.43	1340.8	1370.62	67.83	136.15	152.5	145.55
Filesize[kB] = 524288 Block size [kB] = 4096	1268.63	1464.97	1557.73	1637.62	79.31	125.3	148.06	125.29	141.2	137.27	1545.15	1572.46	73.23	135.48	2189.66	2563.04	151.8	141.68	1091.56	1162.24	1300.0	1271.83	67.93	137.08	148.34	144.98
Filesize[kB] = 524288 Block size [kB] = 8192	1263.55	1367.88	1474.81	1482.03	76.7	124.85	146.54	123.85	139.24	139.3	1508.5	1503.7	76.11	141.27	1908.62	2162.21	147.06	143.87	1092.29	1173.16	1277.75	1259.47	68.81	138.98	150.89	150.5
Filesize[kB] = 524288 Block size [kB] = 16384	1279.61	1375.96	1523.26	1520.95	81.01	125.59	147.16	125.41	145.12	142.49	1478.74	1472.84	74.38	138.24	1883.75	2105.7	148.15	137.3	1084.12	1161.82	1314.63	1303.4	68.87	151.23	143.53	150.51
Filesize[kB] = 1048576 Block size [kB] = 64	1599.82	1781.12	2001.62	2061.3	83.34	106.55	111.05	107.61	13.29	13.37	1978.1	2017.32	33.28	33.02	3582.45	4433.77	29.11	29.54	1433.74	1704.91	1797.66	1890.45	90.34	97.74	120.49	98.18
Filesize[kB] = 1048576 Block size [kB] = 128	1622.69	1879.5	2002.32	2062.57	87.69	113.72	114.92	114.02	22.76	24.71	2100.44	2018.32	44.56	47.78	3179.54	4169.22	28.95	30.21	1477.09	1620.59	1856.87	1829.83	88.8	105.9	119.14	90.54
Filesize[kB] = 1048576 Block size [kB] = 256	1718.11	1874.14	2111.8	2043.18	87.75	113.9	115.39	112.9	36.3	36.76	2025.5	2042.75	54.2	57.85	3132.81	3762.13	38.85	38.56	1513.65	1680.88	1838.15	1875.59	89.47	95.64	119.28	96.54
Filesize[kB] = 1048576 Block size [kB] = 512	1683.84	1806.58	2117.34	2090.32	88.14	113.27	116.13	114.76	54.51	54.85	2086.32	2155.68	51.57	57.48	3849.63	3781.71	56.03	55.56	1364.74	1492.95	1639.31	1683.6	89.24	100.32	119.59	100.47
Filesize[kB] = 1048576 Block size [kB] = 1024	1688.0	1896.36	2069.98	2026.29	87.92	111.96	115.53	114.0	74.17	73.6	2040.54	2098.34	68.31	72.49	3039.14	3569.27	75.71	67.26	1295.99	1414.5	1570.92	1571.42	89.68	95.11	119.51	100.3
Filesize[kB] = 1048576 Block size [kB] = 2048	1733.35	1815.44	2051.47	2086.34	88.36	114.38	116.04	113.77	91.92	89.03	2107.45	2115.06	76.72	75.84	3236.93	3698.96	93.13	76.11	1244.65	1330.84	1465.49	1494.59	90.23	103.92	119.99	102.27
Filesize[kB] = 1048576 Block size [kB] = 4096	1492.79	1598.06	1745.92	1779.82	87.3	114.48	116.83	114.69	103.61	84.1	1748.72	1759.76	82.55	79.9	2567.78	2845.48	104.5	83.27	1169.03	1264.11	1378.74	1374.61	90.53	100.22	118.02	101.22
Filesize[kB] = 1048576 Block size [kB] = 8192	1354.66	1486.5	1644.82	1641.26	88.07	113.83	115.88	114.84	110.92	85.36	1688.41	1665.22	86.56	82.82	2043.15	2300.65	113.0	83.36	1154.32	1241.67	1391.04	1342.37	89.17	103.16	120.63	99.28
Filesize[kB] = 1048576 Block size [kB] = 16384	1396.58	1488.74	1649.92	1661.22	88.23	114.26	116.72	114.36	114.84	85.42	1638.27	1652.82	92.9	85.23	2065.77	2274.63	115.57	85.15	1161.08	1244.14	1380.86	1364.64	89.7	100.94	119.07	94.53
Filesize[kB] = 2097152 Block size [kB] = 64	1681.86	1957.51	2206.16	2206.05	96.86	104.94	105.96	105.56	10.8	10.77	2115.19	2183.11	27.82	27.66	4223.6	5111.1	24.81	25.03	1583.13	1774.88	2005.22	2026.92	93.76	97.45	105.98	95.5
Filesize[kB] = 2097152 Block size [kB] = 128	1767.35	1940.61	2238.04	2248.72	95.38	103.84	104.48	103.65	19.14	19.85	2321.76	2303.61	38.77	39.81	4237.14	5092.69	24.93	25.3	1573.37	1811.54	1972.82	1987.51	90.98	94.41	106.3	97.18
Filesize[kB] = 2097152 Block size [kB] = 256	1791.06	2017.19	2227.66	2212.13	94.58	103.28	104.69	103.45	30.42	30.81	2325.35	2308.8	48.09	49.78	4135.03	4817.69	33.08	33.06	1602.2	1878.86	2021.17	2017.71	90.54	91.86	105.84	95.29
Filesize[kB] = 2097152 Block size [kB] = 512	1803.28	2057.25	2233.57	2239.71	96.19	103.31	104.73	103.62	46.21	46.19	2385.18	2360.49	48.56	50.06	4121.17	5202.85	48.3	47.99	1445.78	1613.23	1751.0	1751.26	91.47	95.41	106.79	95.01
Filesize[kB] = 2097152 Block size [kB] = 1024	1816.74	2056.09	2248.45	2272.04	96.09	103.81	104.8	103.98	64.0	63.64	2391.16	2351.34	65.26	65.87	4240.4	4649.93	64.61	61.1	1373.17	1494.94	1638.76	1649.72	93.09	95.35	105.46	96.06
Filesize[kB] = 2097152 Block size [kB] = 2048	1790.13	2011.94	2211.39	2275.27	91.72	104.02	105.12	104.02	79.72	79.65	2345.59	2283.06	77.03	73.33	4195.79	4535.34	80.78	73.51	1304.97	1418.44	1554.21	1577.93	91.42	95.08	105.35	92.87
Filesize[kB] = 2097152 Block size [kB] = 4096	1546.14	1720.63	1890.36	1899.67	94.53	104.06	104.98	104.04	91.37	82.45	1984.74	1916.7	84.75	80.34	2876.31	3182.02	91.68	82.82	1235.52	1294.85	1443.1	1441.57	91.42	95.19	105.9	96.04
Filesize[kB] = 2097152 Block size [kB] = 8192	1446.74	1581.25	1736.84	1758.45	94.78	103.64	104.26	104.32	98.11	85.66	1814.47	1721.13	88.22	83.73	2225.88	2412.13	96.62	85.2	1223.47	1281.08	1433.15	1411.7	91.32	95.45	105.84	95.33
Filesize[kB] = 2097152 Block size [kB] = 16384	1453.84	1583.23	1750.06	1746.59	91.77	103.82	104.67	104.27	101.76	87.51	1807.05	1763.44	93.65	87.96	2221.22	2371.55	102.04	87.33	1217.45	1284.32	1441.28	1411.29	91.89	94.47	105.58	93.12
Filesize[kB] = 4194304 Block size [kB] = 64	1690.16	1987.43	2176.27	2287.35	95.49	100.05	100.42	99.92	9.7	9.69	2097.87	2183.7	25.69	25.74	4575.8	5577.74	23.55	23.28	1531.54	1787.56	1946.23	2042.56	92.87	98.11	100.44	97.61
Filesize[kB] = 4194304 Block size [kB] = 128	1694.19	1996.25	2183.33	2301.53	93.8	99.53	99.96	99.42	17.58	17.72	2189.16	2248.72	35.82	35.96	4427.38	5412.76	23.59	23.46	1532.68	1777.8	1979.74	2033.73	93.33	97.13	100.28	97.34
Filesize[kB] = 4194304 Block size [kB] = 256	1712.26	1999.64	2200.96	2289.6	93.76	99.53	100.03	99.74	27.66	27.74	2248.32	2266.93	44.92	46.03	4291.17	5021.45	30.58	30.76	1551.7	1785.46	1970.21	2054.19	92.75	96.56	100.44	96.67
Filesize[kB] = 4194304 Block size [kB] = 512	1727.77	2002.33	2207.38	2314.25	93.03	99.46	99.72	99.45	42.33	42.27	2250.21	2312.52	44.91	46.25	4177.62	4978.67	45.42	45.08	1390.43	1583.14	1724.86	1790.4	93.09	97.31	100.33	97.34
Filesize[kB] = 4194304 Block size [kB] = 1024	1731.66	2023.79	2204.28	2317.24	93.32	99.27	99.91	99.55	59.43	59.15	2292.31	2336.31	62.03	62.46	4283.32	5051.67	59.63	58.72	1314.48	1487.24	1606.81	1658.47	93.28	97.12	100.49	97.17
Filesize[kB] = 4194304 Block size [kB] = 2048	1723.18	2009.1	2201.24	2315.33	93.19	99.11	99.92	99.22	74.73	74.31	2283.04	2276.91	71.8	73.04	4191.97	4855.41	75.93	73.36	1261.28	1409.98	1536.78	1583.29	93.18	96.97	100.41	97.84
Filesize[kB] = 4194304 Block size [kB] = 4096	1502.56	1715.69	1855.92	1913.16	92.41	99.27	99.8	99.37	85.46	82.5	1911.21	1937.52	82.95	82.7	2953.43	3383.61	86.77	83.91	1180.75	1305.73	1417.98	1434.57	93.19	97.51	100.37	96.59
Filesize[kB] = 4194304 Block size [kB] = 8192	1397.19	1572.43	1698.9	1748.21	93.21	99.47	99.64	99.67	92.03	88.37	1742.44	1740.43	86.48	87.62	2226.81	2437.98	92.95	88.71	1174.41	1273.09	1412.95	1406.67	92.98	98.38	99.94	97.11
Filesize[kB] = 4194304 Block size [kB] = 16384	1392.47	1575.89	1716.36	1742.18	93.05	99.3	99.68	99.56	96.29	91.36	1745.01	1732.04	90.05	90.06	2219.85	2429.8	96.49	91.35	1179.92	1280.0	1401.01	1405.09	93.02	97.66	100.32	97.47
# Slope of regression line	1.16375		1.01568		0.97525		1.04802		1.08616		1.00898		0.99798		1.21219		1.0184		1.1307		1.01258		1.01211		1.12907	
# Standard error of regression line slope	0.01345		0.01263		0.00985		0.01335		0.01177		0.01059		0.00343		0.01599		0.00566		0.01539		0.01684		0.00516		0.01557	
# Regression line slope ci. min. 90%.	1.14151		0.99478		0.95895		1.02594		1.06669		0.99146		0.99231		1.18574		1.00904		1.10524		0.98473		1.00358		1.10331	
# Regression line slope ci. max 90%	1.18599		1.03657		0.99154		1.07011		1.10563		1.02651		1.00366		1.23863		1.02776		1.15616		1.04044		1.02064		1.15483	
